year,publisher_family,distinct_titles,share_selected_publishers_pct,publisher_order
2004,Nintendo,61,19.24,5
2004,Sony,30,9.46,4
2004,Konami,70,22.08,6
2004,Electronic Arts,41,12.93,3
2004,Ubisoft,29,9.15,2
2005,Atari,30,8.4,1
2005,Sega,52,14.57,7
2005,Nintendo,50,14.01,5
2005,Sony,65,18.21,4
2005,Konami,59,16.53,6
2005,Electronic Arts,60,16.81,3
2005,Ubisoft,41,11.48,2
2006,Atari,25,6.07,1
2006,Sega,62,15.05,7
2006,Nintendo,65,15.78,5
2006,Sony,75,18.2,4
2006,Konami,75,18.2,6
2006,Electronic Arts,54,13.11,3
2006,Ubisoft,56,13.59,2
2007,Atari,35,8.16,1
2007,Sega,50,11.66,7
2007,Nintendo,52,12.12,5
2007,Sony,94,21.91,4
2007,Konami,74,17.25,6
2007,Electronic Arts,62,14.45,3
2007,Ubisoft,62,14.45,2
2008,Atari,37,7.82,1
2008,Sega,56,11.84,7
2008,Nintendo,48,10.15,5
2008,Sony,101,21.35,4
2008,Konami,62,13.11,6
2008,Electronic Arts,81,17.12,3
2008,Ubisoft,88,18.6,2
2009,Atari,23,3.74,1
2009,Sega,48,7.8,7
2009,Nintendo,135,21.95,5
2009,Sony,135,21.95,4
2009,Konami,69,11.22,6
2009,Electronic Arts,102,16.59,3
2009,Ubisoft,103,16.75,2
2010,Atari,15,2.91,1
2010,Sega,52,10.08,7
2010,Nintendo,84,16.28,5
2010,Sony,144,27.91,4
2010,Konami,66,12.79,6
2010,Electronic Arts,86,16.67,3
2010,Ubisoft,69,13.37,2
2011,Atari,15,4.39,1
2011,Sega,38,11.11,7
2011,Nintendo,41,11.99,5
2011,Sony,87,25.44,4
2011,Konami,42,12.28,6
2011,Electronic Arts,55,16.08,3
2011,Ubisoft,64,18.71,2
2012,Atari,1,0.62,1
2012,Sega,25,15.53,7
2012,Nintendo,33,20.5,5
2012,Sony,33,20.5,4
2012,Konami,21,13.04,6
2012,Electronic Arts,19,11.8,3
2012,Ubisoft,29,18.01,2
2013,Atari,1,0.71,1
2013,Sega,20,14.29,7
2013,Nintendo,31,22.14,5
2013,Sony,38,27.14,4
2013,Konami,9,6.43,6
2013,Electronic Arts,17,12.14,3
2013,Ubisoft,24,17.14,2
2014,Atari,2,1.43,1
2014,Sega,25,17.86,7
2014,Nintendo,37,26.43,5
2014,Sony,30,21.43,4
