row_type,flow_id,step,x,y0,y1,node_x0,node_x1,node_y0,node_y1,label_x,label_y,publisher,genre,game_count,publisher_visible_total,publisher_full_total,publisher_top10_coverage_percent,publisher_visible_share_percent,genre_visible_total
flow,2,19,0.612,1078.9835,1313.9835,,,,,,,Sega,Sports,235,1311,1486,88.2,17.93,1031
flow,2,20,0.64,1136.8107,1371.8107,,,,,,,Sega,Sports,235,1311,1486,88.2,17.93,1031
flow,2,21,0.668,1191.8124,1426.8124,,,,,,,Sega,Sports,235,1311,1486,88.2,17.93,1031
flow,2,22,0.696,1243.4237,1478.4237,,,,,,,Sega,Sports,235,1311,1486,88.2,17.93,1031
flow,2,23,0.724,1291.0793,1526.0793,,,,,,,Sega,Sports,235,1311,1486,88.2,17.93,1031
flow,2,24,0.752,1334.2142,1569.2142,,,,,,,Sega,Sports,235,1311,1486,88.2,17.93,1031
flow,2,25,0.78,1372.2634,1607.2634,,,,,,,Sega,Sports,235,1311,1486,88.2,17.93,1031
flow,2,26,0.808,1404.6617,1639.6617,,,,,,,Sega,Sports,235,1311,1486,88.2,17.93,1031
flow,2,27,0.836,1430.844,1665.844,,,,,,,Sega,Sports,235,1311,1486,88.2,17.93,1031
flow,2,28,0.864,1450.2453,1685.2453,,,,,,,Sega,Sports,235,1311,1486,88.2,17.93,1031
flow,2,29,0.892,1462.3005,1697.3005,,,,,,,Sega,Sports,235,1311,1486,88.2,17.93,1031
flow,2,30,0.92,1466.4444,1701.4444,,,,,,,Sega,Sports,235,1311,1486,88.2,17.93,1031
flow,3,0,0.08,430.0,599.0,,,,,,,Sega,Action,169,1311,1486,88.2,12.89,1021
flow,3,1,0.108,436.9158,605.9158,,,,,,,Sega,Action,169,1311,1486,88.2,12.89,1021
flow,3,2,0.136,457.0344,626.0344,,,,,,,Sega,Action,169,1311,1486,88.2,12.89,1021
flow,3,3,0.164,489.4129,658.4129,,,,,,,Sega,Action,169,1311,1486,88.2,12.89,1021
flow,3,4,0.192,533.1081,702.1081,,,,,,,Sega,Action,169,1311,1486,88.2,12.89,1021
flow,3,5,0.22,587.177,756.177,,,,,,,Sega,Action,169,1311,1486,88.2,12.89,1021
flow,3,6,0.248,650.6764,819.6764,,,,,,,Sega,Action,169,1311,1486,88.2,12.89,1021
flow,3,7,0.276,722.6635,891.6635,,,,,,,Sega,Action,169,1311,1486,88.2,12.89,1021
flow,3,8,0.304,802.195,971.195,,,,,,,Sega,Action,169,1311,1486,88.2,12.89,1021
flow,3,9,0.332,888.328,1057.328,,,,,,,Sega,Action,169,1311,1486,88.2,12.89,1021
flow,3,10,0.36,980.1193,1149.1193,,,,,,,Sega,Action,169,1311,1486,88.2,12.89,1021
flow,3,11,0.388,1076.626,1245.626,,,,,,,Sega,Action,169,1311,1486,88.2,12.89,1021
flow,3,12,0.416,1176.9049,1345.9049,,,,,,,Sega,Action,169,1311,1486,88.2,12.89,1021
flow,3,13,0.444,1280.013,1449.013,,,,,,,Sega,Action,169,1311,1486,88.2,12.89,1021
flow,3,14,0.472,1385.0072,1554.0072,,,,,,,Sega,Action,169,1311,1486,88.2,12.89,1021
flow,3,15,0.5,1490.9444,1659.9444,,,,,,,Sega,Action,169,1311,1486,88.2,12.89,1021
flow,3,16,0.528,1596.8817,1765.8817,,,,,,,Sega,Action,169,1311,1486,88.2,12.89,1021
flow,3,17,0.556,1701.8759,1870.8759,,,,,,,Sega,Action,169,1311,1486,88.2,12.89,1021
flow,3,18,0.584,1804.984,1973.984,,,,,,,Sega,Action,169,1311,1486,88.2,12.89,1021
flow,3,19,0.612,1905.2629,2074.2629,,,,,,,Sega,Action,169,1311,1486,88.2,12.89,1021
flow,3,20,0.64,2001.7695,2170.7695,,,,,,,Sega,Action,169,1311,1486,88.2,12.89,1021
flow,3,21,0.668,2093.5609,2262.5609,,,,,,,Sega,Action,169,1311,1486,88.2,12.89,1021
flow,3,22,0.696,2179.6939,2348.6939,,,,,,,Sega,Action,169,1311,1486,88.2,12.89,1021
flow,3,23,0.724,2259.2254,2428.2254,,,,,,,Sega,Action,169,1311,1486,88.2,12.89,1021
flow,3,24,0.752,2331.2124,2500.2124,,,,,,,Sega,Action,169,1311,1486,88.2,12.89,1021
flow,3,25,0.78,2394.7119,2563.7119,,,,,,,Sega,Action,169,1311,1486,88.2,12.89,1021
flow,3,26,0.808,2448.7808,2617.7808,,,,,,,Sega,Action,169,1311,1486,88.2,12.89,1021
flow,3,27,0.836,2492.476,2661.476,,,,,,,Sega,Action,169,1311,1486,88.2,12.89,1021
flow,3,28,0.864,2524.8545,2693.8545,,,,,,,Sega,Action,169,1311,1486,88.2,12.89,1021
flow,3,29,0.892,2544.9731,2713.9731,,,,,,,Sega,Action,169,1311,1486,88.2,12.89,1021
flow,3,30,0.92,2551.8889,2720.8889,,,,,,,Sega,Action,169,1311,1486,88.2,12.89,1021
flow,4,0,0.08,599.0,738.0,,,,,,,Sega,Shooter,139,1311,1486,88.2,10.6,891
flow,4,1,0.108,608.8701,747.8701,,,,,,,Sega,Shooter,139,1311,1486,88.2,10.6,891
flow,4,2,0.136,637.5832,776.5832,,,,,,,Sega,Shooter,139,1311,1486,88.2,10.6,891
flow,4,3,0.164,683.7933,822.7933,,,,,,,Sega,Shooter,139,1311,1486,88.2,10.6,891
flow,4,4,0.192,746.1546,885.1546,,,,,,,Sega,Shooter,139,1311,1486,88.2,10.6,891
flow,4,5,0.22,823.321,962.321,,,,,,,Sega,Shooter,139,1311,1486,88.2,10.6,891
flow,4,6,0.248,913.9467,1052.9467,,,,,,,Sega,Shooter,139,1311,1486,88.2,10.6,891
flow,4,7,0.276,1016.6857,1155.6857,,,,,,,Sega,Shooter,139,1311,1486,88.2,10.6,891
flow,4,8,0.304,1130.1921,1269.1921,,,,,,,Sega,Shooter,139,1311,1486,88.2,10.6,891
flow,4,9,0.332,1253.12,1392.12,,,,,,,Sega,Shooter,139,1311,1486,88.2,10.6,891
flow,4,10,0.36,1384.1235,1523.1235,,,,,,,Sega,Shooter,139,1311,1486,88.2,10.6,891
flow,4,11,0.388,1521.8565,1660.8565,,,,,,,Sega,Shooter,139,1311,1486,88.2,10.6,891
flow,4,12,0.416,1664.9733,1803.9733,,,,,,,Sega,Shooter,139,1311,1486,88.2,10.6,891
flow,4,13,0.444,1812.1279,1951.1279,,,,,,,Sega,Shooter,139,1311,1486,88.2,10.6,891
flow,4,14,0.472,1961.9743,2100.9743,,,,,,,Sega,Shooter,139,1311,1486,88.2,10.6,891
flow,4,15,0.5,2113.1667,2252.1667,,,,,,,Sega,Shooter,139,1311,1486,88.2,10.6,891
flow,4,16,0.528,2264.359,2403.359,,,,,,,Sega,Shooter,139,1311,1486,88.2,10.6,891
flow,4,17,0.556,2414.2054,2553.2054,,,,,,,Sega,Shooter,139,1311,1486,88.2,10.6,891
flow,4,18,0.584,2561.36,2700.36,,,,,,,Sega,Shooter,139,1311,1486,88.2,10.6,891
flow,4,19,0.612,2704.4768,2843.4768,,,,,,,Sega,Shooter,139,1311,1486,88.2,10.6,891
flow,4,20,0.64,2842.2099,2981.2099,,,,,,,Sega,Shooter,139,1311,1486,88.2,10.6,891
flow,4,21,0.668,2973.2133,3112.2133,,,,,,,Sega,Shooter,139,1311,1486,88.2,10.6,891
flow,4,22,0.696,3096.1412,3235.1412,,,,,,,Sega,Shooter,139,1311,1486,88.2,10.6,891
flow,4,23,0.724,3209.6477,3348.6477,,,,,,,Sega,Shooter,139,1311,1486,88.2,10.6,891
flow,4,24,0.752,3312.3867,3451.3867,,,,,,,Sega,Shooter,139,1311,1486,88.2,10.6,891
flow,4,25,0.78,3403.0123,3542.0123,,,,,,,Sega,Shooter,139,1311,1486,88.2,10.6,891
flow,4,26,0.808,3480.1788,3619.1788,,,,,,,Sega,Shooter,139,1311,1486,88.2,10.6,891
flow,4,27,0.836,3542.54,3681.54,,,,,,,Sega,Shooter,139,1311,1486,88.2,10.6,891
flow,4,28,0.864,3588.7501,3727.7501,,,,,,,Sega,Shooter,139,1311,1486,88.2,10.6,891
flow,4,29,0.892,3617.4632,3756.4632,,,,,,,Sega,Shooter,139,1311,1486,88.2,10.6,891
flow,4,30,0.92,3627.3333,3766.3333,,,,,,,Sega,Shooter,139,1311,1486,88.2,10.6,891
flow,5,0,0.08,738.0,906.0,,,,,,,Sega,Platform,168,1311,1486,88.2,12.81,704
flow,5,1,0.108,750.4985,918.4985,,,,,,,Sega,Platform,168,1311,1486,88.2,12.81,704
flow,5,2,0.136,786.8579,954.8579,,,,,,,Sega,Platform,168,1311,1486,88.2,12.81,704
flow,5,3,0.164,845.3738,1013.3738,,,,,,,Sega,Platform,168,1311,1486,88.2,12.81,704
flow,5,4,0.192,924.3418,1092.3418,,,,,,,Sega,Platform,168,1311,1486,88.2,12.81,704
flow,5,5,0.22,1022.0576,1190.0576,,,,,,,Sega,Platform,168,1311,1486,88.2,12.81,704
flow,5,6,0.248,1136.8169,1304.8169,,,,,,,Sega,Platform,168,1311,1486,88.2,12.81,704
flow,5,7,0.276,1266.9153,1434.9153,,,,,,,Sega,Platform,168,1311,1486,88.2,12.81,704
flow,5,8,0.304,1410.6484,1578.6484,,,,,,,Sega,Platform,168,1311,1486,88.2,12.81,704
flow,5,9,0.332,1566.312,1734.312,,,,,,,Sega,Platform,168,1311,1486,88.2,12.81,704
flow,5,10,0.36,1732.2016,1900.2016,,,,,,,Sega,Platform,168,1311,1486,88.2,12.81,704
flow,5,11,0.388,1906.613,2074.613,,,,,,,Sega,Platform,168,1311,1486,88.2,12.81,704
flow,5,12,0.416,2087.8418,2255.8418,,,,,,,Sega,Platform,168,1311,1486,88.2,12.81,704
flow,5,13,0.444,2274.1836,2442.1836,,,,,,,Sega,Platform,168,1311,1486,88.2,12.81,704
flow,5,14,0.472,2463.9341,2631.9341,,,,,,,Sega,Platform,168,1311,1486,88.2,12.81,704
flow,5,15,0.5,2655.3889,2823.3889,,,,,,,Sega,Platform,168,1311,1486,88.2,12.81,704
flow,5,16,0.528,2846.8437,3014.8437,,,,,,,Sega,Platform,168,1311,1486,88.2,12.81,704
flow,5,17,0.556,3036.5942,3204.5942,,,,,,,Sega,Platform,168,1311,1486,88.2,12.81,704
flow,5,18,0.584,3222.936,3390.936,,,,,,,Sega,Platform,168,1311,1486,88.2,12.81,704
flow,5,19,0.612,3404.1648,3572.1648,,,,,,,Sega,Platform,168,1311,1486,88.2,12.81,704
flow,5,20,0.64,3578.5761,3746.5761,,,,,,,Sega,Platform,168,1311,1486,88.2,12.81,704
flow,5,21,0.668,3744.4658,3912.4658,,,,,,,Sega,Platform,168,1311,1486,88.2,12.81,704
flow,5,22,0.696,3900.1293,4068.1293,,,,,,,Sega,Platform,168,1311,1486,88.2,12.81,704
flow,5,23,0.724,4043.8625,4211.8625,,,,,,,Sega,Platform,168,1311,1486,88.2,12.81,704
flow,5,24,0.752,4173.9609,4341.9609,,,,,,,Sega,Platform,168,1311,1486,88.2,12.81,704
flow,5,25,0.78,4288.7202,4456.7202,,,,,,,Sega,Platform,168,1311,1486,88.2,12.81,704
flow,5,26,0.808,4386.436,4554.436,,,,,,,Sega,Platform,168,1311,1486,88.2,12.81,704
flow,5,27,0.836,4465.404,4633.404,,,,,,,Sega,Platform,168,1311,1486,88.2,12.81,704
flow,5,28,0.864,4523.9199,4691.9199,,,,,,,Sega,Platform,168,1311,1486,88.2,12.81,704
flow,5,29,0.892,4560.2792,4728.2792,,,,,,,Sega,Platform,168,1311,1486,88.2,12.81,704
flow,5,30,0.92,4572.7778,4740.7778,,,,,,,Sega,Platform,168,1311,1486,88.2,12.81,704
