platform_rank,platform,platform_full,genre,genre_label,recorded_sales_millions,genre_share_within_platform,genre_share_of_all_recorded_sales,platform_recorded_sales_millions,platform_share_of_all_recorded_sales,sales_rows,total_rows,sales_coverage_percent,x0,x1,y0,y1,parent_x0,parent_x1,parent_y0,parent_y1,cell_area
3,PS3,PlayStation 3,Action,Action,191.66,22.82,2.9,839.7,12.71,1348,1905,70.8,0,18.7417,69.2107,84.6914,0,41.285,69.2107,100.0,290.1341
3,PS3,PlayStation 3,Shooter,Shooter,189.53,22.57,2.87,839.7,12.71,1348,1905,70.8,0,18.7417,84.6914,100.0,0,41.285,69.2107,100.0,286.9098
3,PS3,PlayStation 3,Sports,Sports,153.41,18.27,2.32,839.7,12.71,1348,1905,70.8,18.7417,41.285,69.2107,79.5123,0,41.285,69.2107,100.0,232.2314
3,PS3,PlayStation 3,Role-Playing,Role-Playing,57.73,6.88,0.87,839.7,12.71,1348,1905,70.8,18.7417,27.2647,79.5123,89.7659,0,41.285,69.2107,100.0,87.3914
3,PS3,PlayStation 3,Misc,Misc,57.62,6.86,0.87,839.7,12.71,1348,1905,70.8,18.7417,27.2647,89.7659,100.0,0,41.285,69.2107,100.0,87.2249
3,PS3,PlayStation 3,Racing,Racing,51.99,6.19,0.79,839.7,12.71,1348,1905,70.8,27.2647,34.6379,79.5123,90.1864,0,41.285,69.2107,100.0,78.7023
3,PS3,PlayStation 3,Fighting,Fighting,46.87,5.58,0.71,839.7,12.71,1348,1905,70.8,34.6379,41.285,79.5123,90.1864,0,41.285,69.2107,100.0,70.9516
3,PS3,PlayStation 3,Action-Adventure,,26.28,3.13,0.4,839.7,12.71,1348,1905,70.8,27.2647,34.905,90.1864,95.3934,0,41.285,69.2107,100.0,39.7826
3,PS3,PlayStation 3,Adventure,,23.25,2.77,0.35,839.7,12.71,1348,1905,70.8,27.2647,34.905,95.3934,100.0,0,41.285,69.2107,100.0,35.1958
3,PS3,PlayStation 3,Platform,,20.14,2.4,0.3,839.7,12.71,1348,1905,70.8,34.905,41.285,90.1864,94.9651,0,41.285,69.2107,100.0,30.4879
