combination_id,combination_label,combination_order,intersection_count,intersection_share_pct,mode,mode_order,included,connector_start,connector_end,mode_total,eligible_games,top12_coverage_pct
C08,Multiplayer + Massively Multiplayer Online (MMO),8,624,2.27,Battle Royale,6,0,Multiplayer,Massively Multiplayer Online (MMO),402,27482,95.45
C09,Single player + Multiplayer + Co-operative + Split screen,9,611,2.22,Single player,1,1,Single player,Split screen,22057,27482,95.45
C09,Single player + Multiplayer + Co-operative + Split screen,9,611,2.22,Multiplayer,2,1,Single player,Split screen,24694,27482,95.45
C09,Single player + Multiplayer + Co-operative + Split screen,9,611,2.22,Co-operative,3,1,Single player,Split screen,9929,27482,95.45
C09,Single player + Multiplayer + Co-operative + Split screen,9,611,2.22,Split screen,4,1,Single player,Split screen,3053,27482,95.45
C09,Single player + Multiplayer + Co-operative + Split screen,9,611,2.22,Massively Multiplayer Online (MMO),5,0,Single player,Split screen,2706,27482,95.45
C09,Single player + Multiplayer + Co-operative + Split screen,9,611,2.22,Battle Royale,6,0,Single player,Split screen,402,27482,95.45
C10,Massively Multiplayer Online (MMO),10,592,2.15,Single player,1,0,Massively Multiplayer Online (MMO),Massively Multiplayer Online (MMO),22057,27482,95.45
C10,Massively Multiplayer Online (MMO),10,592,2.15,Multiplayer,2,0,Massively Multiplayer Online (MMO),Massively Multiplayer Online (MMO),24694,27482,95.45
C10,Massively Multiplayer Online (MMO),10,592,2.15,Co-operative,3,0,Massively Multiplayer Online (MMO),Massively Multiplayer Online (MMO),9929,27482,95.45
C10,Massively Multiplayer Online (MMO),10,592,2.15,Split screen,4,0,Massively Multiplayer Online (MMO),Massively Multiplayer Online (MMO),3053,27482,95.45
C10,Massively Multiplayer Online (MMO),10,592,2.15,Massively Multiplayer Online (MMO),5,1,Massively Multiplayer Online (MMO),Massively Multiplayer Online (MMO),2706,27482,95.45
C10,Massively Multiplayer Online (MMO),10,592,2.15,Battle Royale,6,0,Massively Multiplayer Online (MMO),Massively Multiplayer Online (MMO),402,27482,95.45
C11,Single player + Multiplayer + Co-operative + Massively Multiplayer Online (MMO),11,498,1.81,Single player,1,1,Single player,Massively Multiplayer Online (MMO),22057,27482,95.45
C11,Single player + Multiplayer + Co-operative + Massively Multiplayer Online (MMO),11,498,1.81,Multiplayer,2,1,Single player,Massively Multiplayer Online (MMO),24694,27482,95.45
C11,Single player + Multiplayer + Co-operative + Massively Multiplayer Online (MMO),11,498,1.81,Co-operative,3,1,Single player,Massively Multiplayer Online (MMO),9929,27482,95.45
C11,Single player + Multiplayer + Co-operative + Massively Multiplayer Online (MMO),11,498,1.81,Split screen,4,0,Single player,Massively Multiplayer Online (MMO),3053,27482,95.45
C11,Single player + Multiplayer + Co-operative + Massively Multiplayer Online (MMO),11,498,1.81,Massively Multiplayer Online (MMO),5,1,Single player,Massively Multiplayer Online (MMO),2706,27482,95.45
C11,Single player + Multiplayer + Co-operative + Massively Multiplayer Online (MMO),11,498,1.81,Battle Royale,6,0,Single player,Massively Multiplayer Online (MMO),402,27482,95.45
C12,Multiplayer + Co-operative + Massively Multiplayer Online (MMO),12,431,1.57,Single player,1,0,Multiplayer,Massively Multiplayer Online (MMO),22057,27482,95.45
C12,Multiplayer + Co-operative + Massively Multiplayer Online (MMO),12,431,1.57,Multiplayer,2,1,Multiplayer,Massively Multiplayer Online (MMO),24694,27482,95.45
C12,Multiplayer + Co-operative + Massively Multiplayer Online (MMO),12,431,1.57,Co-operative,3,1,Multiplayer,Massively Multiplayer Online (MMO),9929,27482,95.45
C12,Multiplayer + Co-operative + Massively Multiplayer Online (MMO),12,431,1.57,Split screen,4,0,Multiplayer,Massively Multiplayer Online (MMO),3053,27482,95.45
C12,Multiplayer + Co-operative + Massively Multiplayer Online (MMO),12,431,1.57,Massively Multiplayer Online (MMO),5,1,Multiplayer,Massively Multiplayer Online (MMO),2706,27482,95.45
C12,Multiplayer + Co-operative + Massively Multiplayer Online (MMO),12,431,1.57,Battle Royale,6,0,Multiplayer,Massively Multiplayer Online (MMO),402,27482,95.45
