row_type,link_id,publisher,genre,title_count,publisher_selected_total,genre_selected_total,publisher_share_pct,x,y0,y1,x1,x2,node_label,node_count,label_x,label_y
link,Konami → Action,Konami,Action,138,700,827,19.7143,0.836,20.597,23.6758,,,,,,
link,Konami → Action,Konami,Action,138,700,827,19.7143,0.864,20.8212,23.9,,,,,,
link,Konami → Action,Konami,Action,138,700,827,19.7143,0.892,20.9605,24.0394,,,,,,
link,Konami → Action,Konami,Action,138,700,827,19.7143,0.92,21.0084,24.0873,,,,,,
link,Konami → Shooter,Konami,Shooter,87,700,651,12.4286,0.08,9.3927,11.3337,,,,,,
link,Konami → Shooter,Konami,Shooter,87,700,651,12.4286,0.108,9.4972,11.4382,,,,,,
link,Konami → Shooter,Konami,Shooter,87,700,651,12.4286,0.136,9.8012,11.7422,,,,,,
link,Konami → Shooter,Konami,Shooter,87,700,651,12.4286,0.164,10.2905,12.2315,,,,,,
link,Konami → Shooter,Konami,Shooter,87,700,651,12.4286,0.192,10.9509,12.8919,,,,,,
link,Konami → Shooter,Konami,Shooter,87,700,651,12.4286,0.22,11.768,13.709,,,,,,
link,Konami → Shooter,Konami,Shooter,87,700,651,12.4286,0.248,12.7276,14.6686,,,,,,
link,Konami → Shooter,Konami,Shooter,87,700,651,12.4286,0.276,13.8155,15.7565,,,,,,
link,Konami → Shooter,Konami,Shooter,87,700,651,12.4286,0.304,15.0174,16.9584,,,,,,
link,Konami → Shooter,Konami,Shooter,87,700,651,12.4286,0.332,16.319,18.26,,,,,,
link,Konami → Shooter,Konami,Shooter,87,700,651,12.4286,0.36,17.7062,19.6472,,,,,,
link,Konami → Shooter,Konami,Shooter,87,700,651,12.4286,0.388,19.1646,21.1056,,,,,,
link,Konami → Shooter,Konami,Shooter,87,700,651,12.4286,0.416,20.68,22.621,,,,,,
link,Konami → Shooter,Konami,Shooter,87,700,651,12.4286,0.444,22.2382,24.1792,,,,,,
link,Konami → Shooter,Konami,Shooter,87,700,651,12.4286,0.472,23.8249,25.7659,,,,,,
link,Konami → Shooter,Konami,Shooter,87,700,651,12.4286,0.5,25.4259,27.3669,,,,,,
link,Konami → Shooter,Konami,Shooter,87,700,651,12.4286,0.528,27.0268,28.9678,,,,,,
