family,platform,platform_full,distinct_titles,platform_share_all_percent,family_platform_title_total,family_share_all_percent,platform_share_family_percent,x0,x1,y0,y1,parent_x0,parent_x1,parent_y0,parent_y1
Sega,DC,Dreamcast,653,1.05,3080,4.953,21.201,0.35,99.65,91.44727,92.34888,0,100.0,88.97233,93.92497
Sega,MS,Sega Master System,335,0.539,3080,4.953,10.877,0.35,99.65,92.34888,92.81143,0,100.0,88.97233,93.92497
Sega,GG,Game Gear,332,0.534,3080,4.953,10.779,0.35,99.65,92.81143,93.26983,0,100.0,88.97233,93.92497
Sega,SCD,Sega CD,218,0.351,3080,4.953,7.078,0.35,99.65,93.26983,93.57083,0,100.0,88.97233,93.92497
Sega,S32X,Sega 32X,3,0.005,3080,4.953,0.097,0.35,99.65,93.57083,93.57497,0,100.0,88.97233,93.92497
Mobile / Web,And,Android,1048,1.685,1416,2.277,74.011,0.35,99.65,94.27497,95.44208,0,100.0,93.92497,96.2019
Mobile / Web,iOS,iOS,155,0.249,1416,2.277,10.946,0.35,99.65,95.44208,95.61469,0,100.0,93.92497,96.2019
Mobile / Web,WinP,Windows Phone,70,0.113,1416,2.277,4.944,0.35,99.65,95.61469,95.69265,0,100.0,93.92497,96.2019
Mobile / Web,BRW,Browser,63,0.101,1416,2.277,4.449,0.35,99.65,95.69265,95.76281,0,100.0,93.92497,96.2019
Mobile / Web,NGage,N-Gage,60,0.096,1416,2.277,4.237,0.35,99.65,95.76281,95.82963,0,100.0,93.92497,96.2019
Mobile / Web,Mob,Mobile,20,0.032,1416,2.277,1.412,0.35,99.65,95.82963,95.8519,0,100.0,93.92497,96.2019
Atari,2600,Atari 2600,500,0.804,810,1.302,61.728,0.35,99.65,96.5519,96.9238,0,100.0,96.2019,97.50438
Atari,Lynx,Atari Lynx,89,0.143,810,1.302,10.988,0.35,99.65,96.9238,96.99,0,100.0,96.2019,97.50438
Atari,5200,Atari 5200,73,0.117,810,1.302,9.012,0.35,99.65,96.99,97.0443,0,100.0,96.2019,97.50438
Atari,AJ,Atari Jaguar,72,0.116,810,1.302,8.889,0.35,99.65,97.0443,97.09785,0,100.0,96.2019,97.50438
Atari,7800,Atari 7800,59,0.095,810,1.302,7.284,0.35,99.65,97.09785,97.14174,0,100.0,96.2019,97.50438
Atari,AST,Atari ST,17,0.027,810,1.302,2.099,0.35,99.65,97.14174,97.15438,0,100.0,96.2019,97.50438
NEC,PCE,PC Engine,458,0.736,528,0.849,86.742,0.35,99.65,97.85438,97.98365,0,100.0,97.50438,98.35341
NEC,PCFX,PC-FX,67,0.108,528,0.849,12.689,0.35,99.65,97.98365,98.00256,0,100.0,97.50438,98.35341
NEC,TG16,TurboGrafx-16,3,0.005,528,0.849,0.568,0.35,99.65,98.00256,98.00341,0,100.0,97.50438,98.35341
Other / Legacy,Int,Intellivision,134,0.215,349,0.561,38.395,0.35,0.35,98.70341,98.70341,0,100.0,98.35341,98.9146
Other / Legacy,GIZ,Gizmondo,55,0.088,349,0.561,15.759,0.35,0.35,98.70341,98.70341,0,100.0,98.35341,98.9146
Other / Legacy,Arc,Arcade,52,0.084,349,0.561,14.9,0.35,0.35,98.70341,98.70341,0,100.0,98.35341,98.9146
Other / Legacy,CV,ColecoVision,46,0.074,349,0.561,13.181,0.35,0.35,98.70341,98.70341,0,100.0,98.35341,98.9146
Other / Legacy,OR,Oculus Rift,31,0.05,349,0.561,8.883,0.35,0.35,98.70341,98.70341,0,100.0,98.35341,98.9146
Other / Legacy,Ouya,Ouya,25,0.04,349,0.561,7.163,0.35,0.35,98.70341,98.70341,0,100.0,98.35341,98.9146
Other / Legacy,CDi,CD-i,6,0.01,349,0.561,1.719,0.35,0.35,98.70341,98.70341,0,100.0,98.35341,98.9146
3DO,3DO,3DO,304,0.489,304,0.489,100.0,0.35,0.35,99.2646,99.2646,0,100.0,98.9146,99.40343
Bandai,WS,WonderSwan,199,0.32,199,0.32,100.0,0.35,0.35,99.75343,99.75343,0,100.0,99.40343,99.72342
SNK,NG,Neo Geo,172,0.277,172,0.277,100.0,0.35,0.35,100.07342,100.07342,0,100.0,99.72342,100.0
