record_type,link_id,genre,rating,count,within_genre_pct,within_rating_pct,x,y,point_order,thickness_px,node_side,node_label,node_display,node_total,x0,x1,y0,y1,label_x,label_y
link_point,Sports to E,Sports,E,575,77.49326145552561,35.58168316831683,0.18,287.5,0,67.29868913857678,,,,,,,,,,
link_point,Sports to E,Sports,E,575,77.49326145552561,35.58168316831683,0.30799999999999994,290.828,1,67.29868913857678,,,,,,,,,,
link_point,Sports to E,Sports,E,575,77.49326145552561,35.58168316831683,0.43599999999999994,298.764,2,67.29868913857678,,,,,,,,,,
link_point,Sports to E,Sports,E,575,77.49326145552561,35.58168316831683,0.564,308.236,3,67.29868913857678,,,,,,,,,,
link_point,Sports to E,Sports,E,575,77.49326145552561,35.58168316831683,0.692,316.172,4,67.29868913857678,,,,,,,,,,
link_point,Sports to E,Sports,E,575,77.49326145552561,35.58168316831683,0.8199999999999998,319.5,5,67.29868913857678,,,,,,,,,,
link_point,Sports to E10+,Sports,E10+,53,7.142857142857142,11.064718162839249,0.18,601.5,0,6.203183520599251,,,,,,,,,,
link_point,Sports to E10+,Sports,E10+,53,7.142857142857142,11.064718162839249,0.30799999999999994,716.4200000000001,1,6.203183520599251,,,,,,,,,,
link_point,Sports to E10+,Sports,E10+,53,7.142857142857142,11.064718162839249,0.43599999999999994,990.46,2,6.203183520599251,,,,,,,,,,
link_point,Sports to E10+,Sports,E10+,53,7.142857142857142,11.064718162839249,0.564,1317.54,3,6.203183520599251,,,,,,,,,,
link_point,Sports to E10+,Sports,E10+,53,7.142857142857142,11.064718162839249,0.692,1591.5800000000002,4,6.203183520599251,,,,,,,,,,
link_point,Sports to E10+,Sports,E10+,53,7.142857142857142,11.064718162839249,0.8199999999999998,1706.5,5,6.203183520599251,,,,,,,,,,
link_point,Sports to T,Sports,T,104,14.016172506738545,8.176100628930817,0.18,680,0,12.172284644194757,,,,,,,,,,
link_point,Sports to T,Sports,T,104,14.016172506738545,8.176100628930817,0.30799999999999994,842.552,1,12.172284644194757,,,,,,,,,,
link_point,Sports to T,Sports,T,104,14.016172506738545,8.176100628930817,0.43599999999999994,1230.1760000000002,2,12.172284644194757,,,,,,,,,,
link_point,Sports to T,Sports,T,104,14.016172506738545,8.176100628930817,0.564,1692.8239999999998,3,12.172284644194757,,,,,,,,,,
link_point,Sports to T,Sports,T,104,14.016172506738545,8.176100628930817,0.692,2080.4480000000003,4,12.172284644194757,,,,,,,,,,
link_point,Sports to T,Sports,T,104,14.016172506738545,8.176100628930817,0.8199999999999998,2243,5,12.172284644194757,,,,,,,,,,
