Name,Platform,Year_of_Release,Genre,User_Score,User_Count
Metroid: Other M,Wii,2010.0,Action,6.5,482.0
Crysis 2,X360,2011.0,Action,7.5,533.0
Chrono Trigger,DS,2008.0,Role-Playing,8.9,440.0
Marvel vs. Capcom 3: Fate of Two Worlds,PS3,2011.0,Fighting,7.3,147.0
Doom 3,XB,2005.0,Shooter,7.4,116.0
Tom Clancy's Rainbow Six: Siege,XOne,2015.0,Shooter,6.9,252.0
F1 2010,PS3,2010.0,Racing,7.8,83.0
Monster Hunter Freedom,PSP,2005.0,Role-Playing,8.6,78.0
Donkey Kong Jungle Beat,GC,2004.0,Platform,8.3,30.0
Need for Speed Carbon,PS2,2006.0,Racing,8.4,60.0
Lost Planet: Extreme Condition,X360,2006.0,Shooter,7.1,187.0
NBA 2K15,PS3,2014.0,Sports,3.5,22.0
Max Payne 2: The Fall of Max Payne,PS2,2003.0,Shooter,8.2,63.0
Battlefield: Bad Company,PS3,2008.0,Shooter,8.1,203.0
MVP Baseball 2004,PS2,2004.0,Sports,8.6,51.0
Alan Wake,X360,2010.0,Action,8.1,1156.0
Metroid Prime 2: Echoes,GC,2004.0,Shooter,8.8,279.0
Corvette,PS2,2004.0,Racing,6.5,21.0
WWE SmackDown vs Raw 2008,PS3,2007.0,Fighting,7.3,41.0
Skylanders SWAP Force,X360,2013.0,Platform,5.7,45.0
Grand Theft Auto: Chinatown Wars,DS,2009.0,Action,8.3,280.0
UFC Undisputed 2010,X360,2010.0,Fighting,6.7,80.0
World of Warcraft: Wrath of the Lich King,PC,2008.0,Role-Playing,7.5,930.0
NFL 2K3,PS2,2002.0,Sports,7.4,25.0
Assassin's Creed III: Liberation,PSV,2012.0,Action,7.2,318.0
Your Shape: Fitness Evolved,X360,2010.0,Sports,7.5,25.0
Need for Speed Underground Rivals,PSP,2005.0,Racing,8.5,38.0
IHRA Drag Racing 2,PS2,2002.0,Racing,7.4,63.0
Rage,PS3,2011.0,Shooter,6.2,353.0
LEGO Harry Potter: Years 1-4,PS3,2010.0,Action,8.0,52.0
Madagascar,PS2,2005.0,Platform,7.4,25.0
The Witcher 3: Wild Hunt,XOne,2015.0,Role-Playing,9.2,3963.0
Turok: Evolution,PS2,2002.0,Shooter,7.3,27.0
[Prototype],X360,2009.0,Action,7.8,356.0
Burnout 3: Takedown,XB,2004.0,Racing,7.2,139.0
NBA Live 07,PS2,2006.0,Sports,6.0,39.0
Yoshi's Woolly World,WiiU,2015.0,Platform,8.5,376.0
Skylanders Giants,X360,2012.0,Action,6.6,38.0
Tekken 6,X360,2009.0,Fighting,7.0,132.0
Assassin's Creed Syndicate,XOne,2015.0,Action,6.1,402.0
Far Cry 4,PS3,2014.0,Shooter,7.3,113.0
Pokemon Ranger: Guardian Signs,DS,2010.0,Role-Playing,8.2,25.0
LEGO Batman: The Videogame,PS3,2008.0,Action,7.7,33.0
Crysis 2,PS3,2011.0,Action,7.2,406.0
Pirates of the Caribbean: The Curse of the Black Pearl,GBA,2003.0,Platform,6.2,5.0
Transformers,PS2,2004.0,Shooter,8.6,27.0
Dying Light,XOne,2015.0,Action,7.8,387.0
Fallout 4,PC,2015.0,Role-Playing,5.4,7512.0
Sonic Colors,DS,2010.0,Platform,7.9,66.0
Assassin's Creed: Rogue,PS3,2014.0,Action,7.5,292.0
EA Playground,Wii,2007.0,Sports,7.6,30.0
Gold's Gym: Cardio Workout,Wii,2008.0,Sports,8.4,13.0
The Elder Scrolls Online,XOne,2015.0,Role-Playing,8.4,613.0
Champions of Norrath,PS2,2004.0,Role-Playing,8.4,57.0
LEGO Batman: The Videogame,PSP,,Action,7.4,10.0
Manhunt,PS2,2003.0,Action,8.3,136.0
Need for Speed Carbon,Wii,2006.0,Racing,7.3,26.0
Silent Hill 2,PS2,2001.0,Action,8.9,557.0
Castlevania: Symphony of the Night,PS,1997.0,Platform,9.4,358.0
The LEGO Movie Videogame,X360,2014.0,Action,7.2,26.0
The Sims 2: Nightlife,PC,2005.0,Simulation,6.6,71.0
Dark Souls II,PS3,2014.0,Role-Playing,8.1,1107.0
Kid Icarus: Uprising,3DS,2012.0,Action,8.7,487.0
Pokemon Mystery Dungeon: Gates to Infinity,3DS,2012.0,Role-Playing,6.3,134.0
LEGO Batman: The Videogame,PS2,2008.0,Action,8.9,17.0
NBA 2K9,X360,2008.0,Sports,7.2,44.0
Tony Hawk's Underground,XB,2003.0,Sports,9.1,26.0
Metal Gear Solid V: Ground Zeroes,PS4,2014.0,Action,6.2,1311.0
.hack//Infection Part 1,PS2,2002.0,Role-Playing,8.5,60.0
Jillian Michaels' Fitness Ultimatum 2009,Wii,2008.0,Sports,2.0,23.0
Valkyria Chronicles,PS3,2008.0,Role-Playing,8.6,433.0
WWE '12,X360,2011.0,Fighting,6.3,89.0
Sonic Adventure DX: Director's Cut,GC,2003.0,Platform,7.9,139.0
Battle Arena Toshinden,PS,1994.0,Fighting,6.3,4.0
WWE '13,X360,2012.0,Action,8.0,110.0
Final Fantasy X / X-2 HD Remaster,PS3,2013.0,Role-Playing,8.5,332.0
Need for Speed Rivals,PS3,2013.0,Racing,4.9,123.0
EA Sports Active 2,Wii,2010.0,Sports,8.1,22.0
Rockstar Games presents Table Tennis,Wii,2007.0,Sports,5.8,21.0
Football Manager 2011,PC,2010.0,Sports,8.4,77.0
Tamagotchi Connection: Corner Shop,DS,2005.0,Simulation,7.7,6.0
Tomb Raider: Underworld,PS3,2008.0,Action,7.2,166.0
LEGO Battles,DS,2009.0,Strategy,8.9,51.0
NBA Live 2001,PS,2000.0,Sports,8.0,6.0
Saints Row IV,PS3,2013.0,Action,6.3,278.0
Star Wars: The Force Unleashed,PS2,2008.0,Action,7.4,33.0
Watch Dogs,X360,2014.0,Action,5.0,332.0
SOCOM: U.S. Navy SEALs Confrontation,PS3,2008.0,Shooter,6.9,223.0
Need for Speed: Most Wanted,X360,2005.0,Racing,8.5,134.0
Pokemon XD: Gale of Darkness,GC,2005.0,Role-Playing,8.3,74.0
Black,PS2,2006.0,Shooter,8.4,194.0
Tom Clancy's Rainbow Six: Vegas,PS3,2007.0,Shooter,7.6,81.0
LittleBigPlanet PS Vita,PSV,2012.0,Platform,8.6,348.0
Pokemon Super Mystery Dungeon,3DS,2015.0,Role-Playing,8.8,190.0
RollerCoaster Tycoon 2,PC,2002.0,Strategy,8.5,135.0
Lara Croft Tomb Raider: The Angel of Darkness,PS2,2003.0,Action,6.2,106.0
Tom Clancy's Splinter Cell: Pandora Tomorrow,PS2,2004.0,Action,8.6,34.0
Ratchet: Deadlocked,PS2,2005.0,Shooter,8.9,155.0
Winter Sports: The Ultimate Challenge,Wii,2007.0,Sports,6.8,4.0
Baldur's Gate: Dark Alliance,PS2,2001.0,Role-Playing,8.3,90.0
Oddworld: Abe's Oddysee,PS,1997.0,Platform,9.0,96.0
Ridge Racer V,PS2,2000.0,Action,7.7,6.0
WWE SmackDown vs. Raw 2009,PS2,2008.0,Fighting,6.9,34.0
LEGO Harry Potter: Years 5-7,Wii,,Action,7.8,13.0
Star Wars Episode III: Revenge of the Sith,XB,2005.0,Action,8.1,54.0
[Prototype],PS3,2009.0,Action,7.7,308.0
FIFA Street,PS3,2012.0,Sports,6.4,66.0
Frogger: The Great Quest,PS2,2001.0,Platform,4.6,29.0
Madden NFL 17,XOne,2016.0,Sports,5.9,39.0
Ninja Gaiden,XB,2004.0,Action,8.8,152.0
Crash Bandicoot: The Wrath of Cortex,XB,2002.0,Platform,8.1,19.0
Driv3r,PS2,2004.0,Racing,5.5,102.0
Assassin's Creed: Bloodlines,PSP,2009.0,Action,7.2,69.0
LEGO The Lord of the Rings,X360,2012.0,Action,8.5,73.0
SpongeBob SquarePants: Battle for Bikini Bottom,GBA,2003.0,Platform,7.3,6.0
Hyrule Warriors,WiiU,2014.0,Action,8.3,662.0
Donkey Kong Country 2,GBA,2004.0,Platform,9.1,37.0
Need for Speed Carbon,PS3,2006.0,Racing,7.3,42.0
Ben 10: Protector of Earth,Wii,2007.0,Action,7.7,9.0
2010 FIFA World Cup South Africa,PS3,2010.0,Sports,7.8,57.0
Tales of Xillia,PS3,2011.0,Role-Playing,8.2,468.0
Diddy Kong Racing DS,DS,2007.0,Racing,7.5,27.0
Mario Power Tennis,GC,2004.0,Sports,8.5,48.0
Golden Sun: The Lost Age,GBA,2002.0,Role-Playing,9.5,150.0
Max Payne,XB,2001.0,Shooter,8.3,61.0
NBA 2K2,PS2,2002.0,Sports,7.8,16.0
NASCAR Thunder 2003,PS2,,Racing,8.7,17.0
Cars,PS2,2006.0,Racing,8.4,12.0
Call of Duty: Finest Hour,XB,2004.0,Shooter,7.8,22.0
Final Fantasy IV,DS,2007.0,Simulation,7.7,164.0
Star Wars: Battlefront II,PSP,2005.0,Shooter,8.5,111.0
Super Street Fighter IV: 3D Edition,3DS,2011.0,Fighting,8.1,206.0
Sly Cooper and the Thievius Raccoonus,PS2,2002.0,Platform,8.6,184.0
WWE 2K16,PS4,2015.0,Sports,7.4,237.0
Dino Crisis 2,PS,2000.0,Action,9.0,91.0
Need for Speed Underground,GC,2003.0,Racing,9.0,45.0
Naruto Shippuden: Ultimate Ninja Storm 2,PS3,2010.0,Fighting,8.3,130.0
Medal of Honor: Airborne,PS3,2007.0,Shooter,7.6,39.0
Battlefield: Hardline,XOne,2015.0,Shooter,5.1,299.0
Bayonetta,PS3,2009.0,Action,7.7,355.0
Boom Blox,Wii,2008.0,Puzzle,8.6,105.0
The Lord of the Rings: The Fellowship of the Ring,PS2,2002.0,Action,5.1,20.0
The Sims 2: Castaway,Wii,2007.0,Simulation,8.2,10.0
ATV Offroad Fury 3,PS2,2004.0,Racing,8.4,16.0
F1 2011,PS3,2011.0,Racing,7.1,55.0
Pikmin 2,GC,2004.0,Strategy,9.1,137.0
Enter the Matrix,XB,2003.0,Action,7.1,75.0
Cars,PSP,2006.0,Racing,7.0,4.0
NHL 2002,PS2,2001.0,Sports,8.5,26.0
FIFA Soccer 11,PSP,2010.0,Sports,5.4,9.0
The Simpsons: Road Rage,GBA,2003.0,Racing,6.8,9.0
LEGO Batman 2: DC Super Heroes,PS3,2012.0,Action,7.5,81.0
Captain Toad: Treasure Tracker,WiiU,2014.0,Puzzle,8.6,377.0
SpongeBob SquarePants: Revenge of the Flying Dutchman,GBA,2002.0,Platform,7.7,7.0
Pro Evolution Soccer 2008,Wii,2008.0,Sports,8.4,43.0
Destiny: The Taken King,XOne,2015.0,Shooter,5.2,393.0
Scarface: The World is Yours,PS2,2006.0,Action,8.6,113.0
Hitman 2: Silent Assassin,XB,,Action,8.0,19.0
WWE SmackDown vs Raw 2008,PSP,2007.0,Fighting,7.8,15.0
Spider-Man: The Movie,GC,2002.0,Action,7.3,11.0
Mario vs. Donkey Kong 2: March of the Minis,DS,2006.0,Puzzle,7.9,17.0
Metal Gear Solid: Portable Ops,PSP,2006.0,Action,8.2,147.0
Injustice: Gods Among Us,PS3,2013.0,Fighting,7.9,282.0
Shenmue,DC,1999.0,Adventure,9.4,201.0
Tony Hawk's Pro Skater 2,GBA,2001.0,Sports,7.5,22.0
One Piece: Pirate Warriors,PS3,2012.0,Action,6.5,55.0
Gun,PS2,2005.0,Shooter,8.7,70.0
Ty the Tasmanian Tiger,PS2,2002.0,Platform,8.8,60.0
Resident Evil: Operation Raccoon City,PS3,2012.0,Action,4.9,222.0
LEGO Indiana Jones: The Original Adventures,PSP,2008.0,Action,7.6,11.0
PokéPark Wii: Pikachu's Adventure,Wii,2009.0,Adventure,7.2,36.0
WWE '12,PS3,2011.0,Fighting,6.9,80.0
Cabela's Dangerous Hunts,PS2,2003.0,Sports,8.4,37.0
Grand Theft Auto V,PC,2015.0,Action,7.9,3756.0
Fallout: New Vegas,PC,2010.0,Role-Playing,8.6,2754.0
WWE SmackDown vs. Raw 2010,PS3,2009.0,Fighting,8.1,55.0
Medal of Honor: Rising Sun,XB,2003.0,Shooter,5.8,28.0
Army of Two,PS3,2008.0,Shooter,7.3,118.0
Spore,PC,2008.0,Strategy,5.3,1711.0
Mario vs. Donkey Kong,GBA,2004.0,Puzzle,8.0,31.0
LEGO Star Wars III: The Clone Wars,PS3,2011.0,Action,7.3,34.0
Midnight Club 3: DUB Edition Remix,PS2,2006.0,Racing,8.9,53.0
Tom Clancy's Ghost Recon: Jungle Storm,PS2,2004.0,Shooter,6.3,24.0
Bushido Blade,PS,1997.0,Fighting,7.9,16.0
Mirror's Edge,X360,2008.0,Platform,7.6,328.0
Sonic the Hedgehog,PS3,2006.0,Platform,4.1,176.0
NASCAR Thunder 2002,PS2,2001.0,Racing,8.5,22.0
Your Shape: Fitness Evolved 2012,X360,2011.0,Sports,7.6,21.0
FIFA 14,XOne,2013.0,Sports,5.8,328.0
Final Fantasy Tactics: The War of the Lions,PSP,2007.0,Role-Playing,8.0,238.0
Sniper: Ghost Warrior,X360,2010.0,Shooter,5.8,89.0
Sonic Rush Adventure,DS,2007.0,Platform,8.2,66.0
Worldwide Soccer Manager 2009,PC,2008.0,Simulation,8.1,30.0
Gauntlet: Dark Legacy,PS2,2001.0,Action,8.3,30.0
Medal of Honor Heroes 2,PSP,2007.0,Shooter,7.3,30.0
Bad Boys: Miami Takedown,PS2,2004.0,Shooter,3.4,13.0
Football Manager 2013,PC,2012.0,Sports,6.7,228.0
Medal of Honor: Warfighter,X360,2012.0,Action,5.4,437.0
FIFA Soccer 10,PSP,2009.0,Sports,7.9,14.0
Call of Duty 4: Modern Warfare,PC,2007.0,Shooter,8.5,2360.0
Tak and the Power of Juju,PS2,2003.0,Platform,9.0,28.0
WWE 2K15,PS4,2014.0,Sports,5.1,164.0
Tenchu: Wrath of Heaven,PS2,2003.0,Action,8.4,38.0
Shadow of the Colossus,PS2,2005.0,Action,9.1,933.0
Brave Fencer Musashi,PS,1998.0,Role-Playing,8.5,17.0
Ninja Gaiden Sigma,PS3,2007.0,Action,7.5,155.0
WWE 2K14,PS3,2013.0,Sports,7.5,121.0
Pokemon Rumble Blast,3DS,2011.0,Action,7.1,50.0
007: Quantum of Solace,PS3,2008.0,Action,6.6,47.0
Dance Dance Revolution Extreme 2,PS2,2005.0,Simulation,9.0,21.0
The Lord of the Rings: The Return of the King,XB,2003.0,Action,9.1,31.0
Hot Shots Golf: Out of Bounds,PS3,2007.0,Sports,8.8,32.0
Red Dead Redemption: Undead Nightmare,PS3,2010.0,Action,7.4,17.0
Sunset Overdrive,XOne,2014.0,Shooter,7.7,1137.0
Mobile Suit Gundam: Federation vs. Zeon,PS2,2001.0,Simulation,8.8,32.0
Naruto Shippuden: Ultimate Ninja Storm 4,PS4,2016.0,Fighting,8.2,201.0
MechAssault,XB,2002.0,Simulation,8.0,47.0
Cars,GBA,2006.0,Racing,4.7,6.0
Watch Dogs 2,PS4,2016.0,Action,7.8,621.0
LEGO Star Wars III: The Clone Wars,3DS,2011.0,Action,6.1,31.0
Tom Clancy's Rainbow Six 3: Black Arrow,XB,2004.0,Shooter,8.6,14.0
Mirror's Edge,PS3,2008.0,Platform,7.8,362.0
Alien: Isolation,PS4,2014.0,Shooter,8.1,795.0
Fantasy Life,3DS,2012.0,Role-Playing,8.6,209.0
The Legend of Zelda: Tri Force Heroes,3DS,2015.0,Action,7.6,179.0
Supercar Street Challenge,PS2,2001.0,Racing,7.6,9.0
Rabbids Go Home,Wii,2009.0,Platform,8.3,32.0
ModNation Racers,PS3,2010.0,Racing,8.4,201.0
SOCOM: U.S. Navy SEALs Fireteam Bravo,PSP,2005.0,Shooter,8.6,63.0
Call Of Duty 2: Big Red One,XB,2005.0,Shooter,5.1,27.0
Worldwide Soccer Manager 2008,PC,2007.0,Sports,8.0,19.0
Yakuza 3,PS3,2009.0,Action,8.1,165.0
Persona 4: Golden,PSV,2012.0,Role-Playing,9.2,1228.0
Spider-Man 2,XB,2004.0,Action,8.3,40.0
Crackdown 2,X360,2010.0,Shooter,6.0,202.0
Dragon Age II,X360,2011.0,Action,4.5,2380.0
Counter-Strike,XB,2003.0,Shooter,7.6,51.0
Fight Night Champion,PS3,2011.0,Fighting,7.3,95.0
Tom Clancy's Splinter Cell: Chaos Theory,XB,2005.0,Action,9.0,160.0
Pikmin 3,WiiU,2013.0,Strategy,8.7,664.0
WWE 2K14,X360,2013.0,Sports,7.7,100.0
Dragon Ball: XenoVerse,PS4,2015.0,Fighting,7.7,598.0
Castlevania: Lords of Shadow,PS3,2010.0,Action,8.0,468.0
Plants vs. Zombies,DS,2011.0,Strategy,7.4,29.0
Tales of Symphonia,GC,2003.0,Role-Playing,8.5,176.0
LEGO City Undercover,WiiU,2013.0,Platform,8.2,283.0
Need for Speed: ProStreet,Wii,2007.0,Racing,6.9,14.0
GRID,PS3,2008.0,Racing,8.1,109.0
Medal of Honor: Airborne,X360,2007.0,Shooter,6.7,77.0
Star Ocean: The Second Story,PS,1998.0,Role-Playing,8.5,44.0
NCAA Football 14,X360,2013.0,Sports,5.8,74.0
Yakuza 2,PS2,2006.0,Adventure,8.1,52.0
Dragon Ball Z: The Legacy of Goku II,GBA,2003.0,Role-Playing,8.9,39.0
NERF N-Strike,Wii,2008.0,Shooter,4.4,7.0
NFL 2K1,DC,2000.0,Sports,6.0,47.0
Untold Legends: Brotherhood of the Blade,PSP,2005.0,Role-Playing,7.6,58.0
Project CARS,PS4,2015.0,Racing,6.6,363.0
Madden NFL 2004,XB,2003.0,Sports,8.3,48.0
Sonic and the Black Knight,Wii,2009.0,Platform,6.9,198.0
The Godfather,PS2,2006.0,Action,8.3,99.0
Sonic Free Riders,X360,2010.0,Racing,2.1,98.0
Star Wars: Bounty Hunter,PS2,2002.0,Shooter,8.3,33.0
WWE SmackDown vs. Raw 2011,PS3,2010.0,Fighting,6.9,41.0
NCAA Football 13,X360,2012.0,Action,5.5,65.0
Skate 2,X360,2009.0,Sports,8.0,72.0
NASCAR Thunder 2004,PS2,2003.0,Racing,8.9,77.0
SpongeBob SquarePants: Revenge of the Flying Dutchman,PS2,2002.0,Platform,6.6,41.0
Empire: Total War,PC,2009.0,Strategy,6.9,2981.0
Virtua Fighter 5,PS3,2007.0,Fighting,7.4,67.0
Dante's Inferno,PS3,2010.0,Action,7.5,265.0
Tom Clancy's Ghost Recon 2,PS2,2004.0,Shooter,6.0,19.0
Forza Horizon 3,XOne,2016.0,Racing,7.4,594.0
Star Wars: The Force Unleashed,PSP,2008.0,Action,8.1,49.0
Dragon Ball Z: Taiketsu,GBA,2003.0,Fighting,6.1,22.0
Star Fox: Assault,GC,2005.0,Shooter,8.1,106.0
Plants vs. Zombies: Garden Warfare,X360,2014.0,Shooter,7.3,121.0
The Simpsons Game,PSP,2007.0,Action,6.7,15.0
LEGO Star Wars II: The Original Trilogy,DS,2006.0,Action,5.0,38.0
Call of Duty 3,PS2,2006.0,Shooter,7.4,83.0
FIFA Soccer 11,Wii,2010.0,Sports,7.3,8.0
Prince of Persia,PS3,2008.0,Action,7.3,245.0
WWE SmackDown vs. Raw 2010,PS2,2009.0,Fighting,7.7,31.0
Tomb Raider: Underworld,X360,2008.0,Action,6.6,198.0
Pro Evolution Soccer 2008,X360,2007.0,Sports,7.8,36.0
SoulCalibur III,PS2,2005.0,Fighting,8.4,96.0
Tiger Woods PGA Tour 10,Wii,2009.0,Sports,8.8,57.0
World Tour Soccer,PSP,2005.0,Sports,5.6,5.0
Naruto: Ultimate Ninja Storm,PS3,2008.0,Fighting,8.6,95.0
Red Dead Redemption: Undead Nightmare,X360,2010.0,Action,7.6,18.0
Lightning Returns: Final Fantasy XIII,PS3,2013.0,Role-Playing,5.9,552.0
Mortal Kombat: Armageddon,PS2,2006.0,Fighting,8.5,84.0
Freekstyle,PS2,2002.0,Racing,7.3,14.0
Grand Theft Auto: Chinatown Wars,PSP,2009.0,Action,7.3,146.0
Spore Creatures,DS,2008.0,Simulation,6.5,21.0
The Orange Box,PS3,2007.0,Shooter,8.4,188.0
Bully: Scholarship Edition,X360,2008.0,Action,8.3,154.0
NBA Street V3,PS2,2005.0,Sports,8.7,37.0
Hulk,PS2,2003.0,Action,8.3,22.0
Overwatch,XOne,2016.0,Shooter,5.6,668.0
Aliens vs Predator,X360,2010.0,Shooter,7.3,247.0
Skylanders Giants,PS3,2012.0,Action,6.3,18.0
Diablo II: Lord of Destruction,PC,2001.0,Role-Playing,9.1,639.0
Endless Ocean,Wii,2007.0,Adventure,8.1,61.0
Spider-Man 2,GBA,2004.0,Action,7.7,6.0
Seek and Destroy,PS2,2002.0,Racing,8.8,10.0
Darksiders,X360,2010.0,Action,7.9,292.0
Mercenaries 2: World in Flames,X360,2008.0,Shooter,7.2,152.0
LEGO Marvel Super Heroes,XOne,2013.0,Action,6.8,73.0
Warhawk,PS3,2007.0,Simulation,8.4,183.0
DiRT 3,PS3,2011.0,Racing,7.1,122.0
Sega Superstars Tennis,Wii,2008.0,Sports,7.0,16.0
DiRT,PS3,2007.0,Racing,8.0,32.0
Call of Duty 4: Modern Warfare,DS,2007.0,Shooter,6.9,36.0
Resident Evil: The Darkside Chronicles,Wii,2009.0,Action,8.0,60.0
SOCOM: U.S. Navy SEALs Fireteam Bravo 2,PSP,2006.0,Shooter,9.0,36.0
NBA 2K3,PS2,2002.0,Sports,8.0,22.0
LEGO The Lord of the Rings,PS3,2012.0,Action,8.3,85.0
The Simpsons: Road Rage,XB,2001.0,Racing,8.3,6.0
Dave Mirra Freestyle BMX,PS,2000.0,Sports,8.4,5.0
EA Sports UFC,PS4,2014.0,Sports,6.1,279.0
Forza Motorsport,XB,2005.0,Racing,7.6,213.0
Virtua Tennis 3,PS3,2007.0,Sports,7.9,32.0
MVP Baseball 2003,PS2,2003.0,Sports,8.9,17.0
Imagine: Animal Doctor,DS,2007.0,Simulation,7.4,5.0
Legacy of Kain: Soul Reaver,PS,,Action,9.0,132.0
WWE SmackDown vs. Raw 2010,X360,2009.0,Fighting,8.4,36.0
Sleeping Dogs,PS3,2012.0,Action,7.7,645.0
Naruto: Clash of Ninja 2,GC,2003.0,Fighting,8.9,39.0
Dance Dance Revolution SuperNOVA,PS2,2006.0,Simulation,8.7,6.0
Aliens vs Predator,PS3,2010.0,Shooter,7.3,168.0
F-Zero: Maximum Velocity,GBA,2001.0,Racing,8.5,22.0
Sonic the Hedgehog,X360,2006.0,Platform,4.4,455.0
Need for Speed: Most Wanted,XB,2005.0,Racing,8.8,29.0
The Simpsons Game,X360,2007.0,Action,7.7,71.0
F1 2012,PS3,2012.0,Racing,7.5,54.0
Brink,X360,2011.0,Shooter,5.8,404.0
MX vs. ATV Unleashed,PS2,2005.0,Racing,8.4,17.0
WipEout Pure,PSP,2005.0,Racing,7.9,102.0
UFC Undisputed 3,PS3,2012.0,Action,7.4,92.0
LEGO Pirates of the Caribbean: The Video Game,X360,2011.0,Action,7.0,31.0
Tom Clancy's Ghost Recon Advanced Warfighter 2,PS3,2007.0,Shooter,8.1,41.0
Super Princess Peach,DS,2005.0,Platform,7.6,33.0
Guinness World Records: The Videogame,Wii,2008.0,Action,7.0,8.0
NCAA March Madness 2004,PS2,2003.0,Sports,8.8,12.0
The Legend of Zelda: Twilight Princess HD,WiiU,2016.0,Action,8.4,329.0
LEGO Indiana Jones: The Original Adventures,PS3,2008.0,Action,7.7,30.0
Tomb Raider,PC,1996.0,Action,8.5,3552.0
Street Fighter Alpha 3,PS,1998.0,Fighting,8.5,46.0
MySims Agents,Wii,2009.0,Adventure,8.6,28.0
MotorStorm: Arctic Edge,PSP,2009.0,Racing,8.8,39.0
FIFA Soccer 08,Wii,2007.0,Sports,6.1,26.0
Tiger Woods PGA Tour 08,Wii,2007.0,Sports,7.0,22.0
Dragon Ball Z: Budokai Tenkaichi 3,Wii,2007.0,Fighting,8.4,61.0
Shrek 2,GC,2004.0,Platform,6.4,14.0
NBA 2K17,XOne,2016.0,Sports,6.2,91.0
Tom Clancy's Ghost Recon Advanced Warfighter 2,X360,2007.0,Shooter,8.1,89.0
Sonic Unleashed,PS3,2008.0,Platform,7.9,130.0
Disney Universe,Wii,2011.0,Action,6.0,5.0
LEGO Indiana Jones 2: The Adventure Continues,X360,2009.0,Action,7.4,25.0
Petz: Catz 2,DS,2007.0,Simulation,9.0,4.0
Bulletstorm,X360,2011.0,Shooter,7.6,439.0
Skylanders SWAP Force,PS3,2013.0,Platform,5.3,33.0
Madden NFL 07,XB,2006.0,Sports,8.7,6.0
Sonic Generations,3DS,2011.0,Platform,6.9,108.0
Harry Potter and the Prisoner of Azkaban,PS2,2004.0,Action,8.7,29.0
Pokemon Conquest,DS,2012.0,Role-Playing,8.2,89.0
Wall-E,Wii,2008.0,Platform,3.6,8.0
Naruto: Clash of Ninja Revolution,Wii,2007.0,Fighting,8.0,27.0
Ace Combat 6: Fires of Liberation,X360,2007.0,Simulation,7.9,101.0
The Simpsons Game,Wii,2007.0,Action,6.1,38.0
Ninja Gaiden II,X360,2008.0,Action,8.0,302.0
Assassin's Creed: Rogue,X360,2014.0,Action,7.3,318.0
Rayman Legends,PS4,2014.0,Platform,8.5,525.0
Prince of Persia,X360,2008.0,Action,7.0,189.0
Monster Rancher,PS,1997.0,Simulation,8.3,10.0
ZombiU,WiiU,2012.0,Action,7.7,758.0
Pokken Tournament,WiiU,2016.0,Fighting,8.0,273.0
Ford Racing 2,PS2,2003.0,Racing,8.0,8.0
NERF N-Strike Elite,Wii,2009.0,Shooter,4.5,6.0
God of War: Ghost of Sparta,PSP,2010.0,Action,8.4,255.0
SoulCalibur II,XB,2003.0,Fighting,8.9,54.0
Dynasty Warriors 3: Xtreme Legends,PS2,2002.0,Action,9.3,54.0
Rayman Origins,PS3,2011.0,Platform,8.4,238.0
NFL Fever 2002,XB,2000.0,Sports,8.5,10.0
NCAA Football 12,X360,2011.0,Sports,6.6,49.0
UFC Undisputed 3,X360,2012.0,Action,7.6,88.0
Kirby: Mass Attack,DS,2011.0,Platform,8.6,55.0
Haze,PS3,2008.0,Shooter,6.5,294.0
Oddworld: Abe's Exoddus,PS,1998.0,Platform,9.1,69.0
The Bouncer,PS2,2000.0,Action,8.0,35.0
DiRT 2,PS3,2009.0,Racing,8.2,94.0
Shadow The Hedgehog,GC,2005.0,Platform,6.6,120.0
EyePet,PS3,2009.0,Simulation,8.2,20.0
Apollo Justice: Ace Attorney,DS,2007.0,Adventure,8.1,84.0
Ace Combat X: Skies of Deception,PSP,2006.0,Simulation,8.3,30.0
Dark Souls,X360,2011.0,Role-Playing,8.4,1106.0
Midnight Club: LA Remix,PSP,2008.0,Racing,8.7,43.0
Pro Evolution Soccer 2008,PSP,2008.0,Sports,6.8,11.0
FIFA Soccer 10,Wii,2009.0,Sports,6.2,17.0
Tales of Graces f,PS3,2010.0,Role-Playing,8.2,336.0
Fallout 3,PC,2008.0,Role-Playing,7.9,3450.0
Zoo Tycoon DS,DS,2005.0,Strategy,6.6,25.0
WWE SmackDown vs Raw 2008,Wii,2007.0,Fighting,5.9,18.0
Dead Space 3,X360,2013.0,Action,6.4,694.0
Suikoden III,PS2,,Role-Playing,7.7,113.0
Tom Clancy's Splinter Cell: Blacklist,X360,2013.0,Action,7.5,383.0
Madden NFL 10,PS2,2009.0,Sports,7.2,6.0
NBA 2K10,X360,2009.0,Sports,7.6,34.0
NCAA Football 06,XB,2005.0,Sports,8.3,27.0
Madden NFL 16,X360,2015.0,Sports,5.1,12.0
Grand Theft Auto: San Andreas,PC,2005.0,Action,8.9,1841.0
Madden NFL 08,PS3,2007.0,Sports,5.3,33.0
Fire Emblem,GBA,2003.0,Strategy,9.2,144.0
Brutal Legend,X360,2009.0,Action,8.0,268.0
Disney Infinity,PS3,2013.0,Action,5.9,47.0
NHL 2004,PS2,2003.0,Sports,7.6,53.0
Grand Theft Auto: Vice City Stories,PS2,2007.0,Action,7.9,67.0
