combination_id,combination_label,combination_order,intersection_count,mode,mode_order,included,connector_start,connector_end,mode_total
C10,Massively Multiplayer Online (MMO),10,592,Single player,1,0,Massively Multiplayer Online (MMO),Massively Multiplayer Online (MMO),22057
C10,Massively Multiplayer Online (MMO),10,592,Multiplayer,2,0,Massively Multiplayer Online (MMO),Massively Multiplayer Online (MMO),24694
C10,Massively Multiplayer Online (MMO),10,592,Co-operative,3,0,Massively Multiplayer Online (MMO),Massively Multiplayer Online (MMO),9929
C10,Massively Multiplayer Online (MMO),10,592,Split screen,4,0,Massively Multiplayer Online (MMO),Massively Multiplayer Online (MMO),3053
C10,Massively Multiplayer Online (MMO),10,592,Massively Multiplayer Online (MMO),5,1,Massively Multiplayer Online (MMO),Massively Multiplayer Online (MMO),2706
C11,Single player + Multiplayer + Co-operative + Massively Multiplayer Online (MMO),11,498,Single player,1,1,Single player,Massively Multiplayer Online (MMO),22057
C11,Single player + Multiplayer + Co-operative + Massively Multiplayer Online (MMO),11,498,Multiplayer,2,1,Single player,Massively Multiplayer Online (MMO),24694
C11,Single player + Multiplayer + Co-operative + Massively Multiplayer Online (MMO),11,498,Co-operative,3,1,Single player,Massively Multiplayer Online (MMO),9929
C11,Single player + Multiplayer + Co-operative + Massively Multiplayer Online (MMO),11,498,Split screen,4,0,Single player,Massively Multiplayer Online (MMO),3053
C11,Single player + Multiplayer + Co-operative + Massively Multiplayer Online (MMO),11,498,Massively Multiplayer Online (MMO),5,1,Single player,Massively Multiplayer Online (MMO),2706
C12,Multiplayer + Co-operative + Massively Multiplayer Online (MMO),12,431,Single player,1,0,Multiplayer,Massively Multiplayer Online (MMO),22057
C12,Multiplayer + Co-operative + Massively Multiplayer Online (MMO),12,431,Multiplayer,2,1,Multiplayer,Massively Multiplayer Online (MMO),24694
C12,Multiplayer + Co-operative + Massively Multiplayer Online (MMO),12,431,Co-operative,3,1,Multiplayer,Massively Multiplayer Online (MMO),9929
C12,Multiplayer + Co-operative + Massively Multiplayer Online (MMO),12,431,Split screen,4,0,Multiplayer,Massively Multiplayer Online (MMO),3053
C12,Multiplayer + Co-operative + Massively Multiplayer Online (MMO),12,431,Massively Multiplayer Online (MMO),5,1,Multiplayer,Massively Multiplayer Online (MMO),2706
